Title,Description,Labels,Priority,Project
Flappy Bird: Issue tracking baseline,"Create issue tracking baseline for Flappy Bird. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/flappy",3,games.aiandsons.io
Dino Run: Issue tracking baseline,"Create issue tracking baseline for Dino Run. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/dino",3,games.aiandsons.io
Doodle Jump: Issue tracking baseline,"Create issue tracking baseline for Doodle Jump. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/doodlejump",3,games.aiandsons.io
Space Invaders: Issue tracking baseline,"Create issue tracking baseline for Space Invaders. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/spaceinvaders",3,games.aiandsons.io
Mushroom March: Issue tracking baseline,"Create issue tracking baseline for Mushroom March. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/mushroommarch",3,games.aiandsons.io
Frogger: Issue tracking baseline,"Create issue tracking baseline for Frogger. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/frogger",3,games.aiandsons.io
Pocket Mini Golf: Issue tracking baseline,"Create issue tracking baseline for Pocket Mini Golf. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/minigolf",3,games.aiandsons.io
Micro Mario: Issue tracking baseline,"Create issue tracking baseline for Micro Mario. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/micro-mario",3,games.aiandsons.io
Retro Downhill Ski: Issue tracking baseline,"Create issue tracking baseline for Retro Downhill Ski. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/ski",3,games.aiandsons.io
Home Run Derby: Issue tracking baseline,"Create issue tracking baseline for Home Run Derby. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/homerunderby",3,games.aiandsons.io
Micro RC Racer: Issue tracking baseline,"Create issue tracking baseline for Micro RC Racer. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/micro-rc-racer",3,games.aiandsons.io
Oregon Trail: Issue tracking baseline,"Create issue tracking baseline for Oregon Trail. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/oregontrail",3,games.aiandsons.io
Neon Rally: Issue tracking baseline,"Create issue tracking baseline for Neon Rally. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/neonrally",3,games.aiandsons.io
Pac-Man: Issue tracking baseline,"Create issue tracking baseline for Pac-Man. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/pacman",3,games.aiandsons.io
Pokemon: Issue tracking baseline,"Create issue tracking baseline for Pokemon. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/pokemon",3,games.aiandsons.io
Tetris: Issue tracking baseline,"Create issue tracking baseline for Tetris. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/tetris",3,games.aiandsons.io
Asteroids: Issue tracking baseline,"Create issue tracking baseline for Asteroids. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/asteroids",3,games.aiandsons.io
Missile Command: Issue tracking baseline,"Create issue tracking baseline for Missile Command. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/missilecommand",3,games.aiandsons.io
Tower Defense: Issue tracking baseline,"Create issue tracking baseline for Tower Defense. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/towerdefense",3,games.aiandsons.io
Sky Joust: Issue tracking baseline,"Create issue tracking baseline for Sky Joust. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/skyjoust",3,games.aiandsons.io
Bomberman Lite: Issue tracking baseline,"Create issue tracking baseline for Bomberman Lite. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/bomberman",3,games.aiandsons.io
Treasure Maze: Issue tracking baseline,"Create issue tracking baseline for Treasure Maze. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/treasuremaze",3,games.aiandsons.io
Echo Labyrinth: Issue tracking baseline,"Create issue tracking baseline for Echo Labyrinth. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/echolabyrinth",3,games.aiandsons.io
Box Quest: Issue tracking baseline,"Create issue tracking baseline for Box Quest. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/boxquest",3,games.aiandsons.io
Water Balloon Code Duel: Issue tracking baseline,"Create issue tracking baseline for Water Balloon Code Duel. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/waterballoon",3,games.aiandsons.io
Whack-a-Mole Blitz: Issue tracking baseline,"Create issue tracking baseline for Whack-a-Mole Blitz. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/whackamole",3,games.aiandsons.io
Color Catch Arcade: Issue tracking baseline,"Create issue tracking baseline for Color Catch Arcade. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/colorcatch",3,games.aiandsons.io
Orbital Rescue: Issue tracking baseline,"Create issue tracking baseline for Orbital Rescue. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/orbitalrescue",3,games.aiandsons.io
Lights Out Lab: Issue tracking baseline,"Create issue tracking baseline for Lights Out Lab. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/lightsout",3,games.aiandsons.io
Glow Grid: Issue tracking baseline,"Create issue tracking baseline for Glow Grid. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/glowgrid",3,games.aiandsons.io
Loop Trail: Issue tracking baseline,"Create issue tracking baseline for Loop Trail. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/looptrail",3,games.aiandsons.io
Vial Sort: Issue tracking baseline,"Create issue tracking baseline for Vial Sort. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/vialsort",3,games.aiandsons.io
Bridge Islands: Issue tracking baseline,"Create issue tracking baseline for Bridge Islands. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/bridgeislands",3,games.aiandsons.io
SameGame: Issue tracking baseline,"Create issue tracking baseline for SameGame. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/samegame",3,games.aiandsons.io
Pyramid Hopper: Issue tracking baseline,"Create issue tracking baseline for Pyramid Hopper. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/pyramidhopper",3,games.aiandsons.io
Neon Pinball Rush: Issue tracking baseline,"Create issue tracking baseline for Neon Pinball Rush. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/pinball",3,games.aiandsons.io
Skywire Sprint: Issue tracking baseline,"Create issue tracking baseline for Skywire Sprint. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/skywire",3,games.aiandsons.io
Starfield Dodger: Issue tracking baseline,"Create issue tracking baseline for Starfield Dodger. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/starfielddodger",3,games.aiandsons.io
Simon Says Spectrum: Issue tracking baseline,"Create issue tracking baseline for Simon Says Spectrum. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/simonsays",3,games.aiandsons.io
Reaction Grid: Issue tracking baseline,"Create issue tracking baseline for Reaction Grid. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/reactiongrid",3,games.aiandsons.io
Gravity Switch: Issue tracking baseline,"Create issue tracking baseline for Gravity Switch. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/gravityswitch",3,games.aiandsons.io
Orb Burst: Issue tracking baseline,"Create issue tracking baseline for Orb Burst. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/orbburst",3,games.aiandsons.io
Laser Maze Dash: Issue tracking baseline,"Create issue tracking baseline for Laser Maze Dash. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/lasermaze",3,games.aiandsons.io
Moon Lander Patrol: Issue tracking baseline,"Create issue tracking baseline for Moon Lander Patrol. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/moonlander",3,games.aiandsons.io
Comet Courier: Issue tracking baseline,"Create issue tracking baseline for Comet Courier. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/cometcourier",3,games.aiandsons.io
Rift Drifter: Issue tracking baseline,"Create issue tracking baseline for Rift Drifter. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/riftdrifter",3,games.aiandsons.io
Circuit Path: Issue tracking baseline,"Create issue tracking baseline for Circuit Path. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/circuitpath",3,games.aiandsons.io
Signal Stack: Issue tracking baseline,"Create issue tracking baseline for Signal Stack. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/signalstack",3,games.aiandsons.io
Line Rider: Issue tracking baseline,"Create issue tracking baseline for Line Rider. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/linerider",3,games.aiandsons.io
Vault Runner: Issue tracking baseline,"Create issue tracking baseline for Vault Runner. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/vaultrunner",3,games.aiandsons.io
Chrome Shift: Issue tracking baseline,"Create issue tracking baseline for Chrome Shift. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/chromeshift",3,games.aiandsons.io
Trailblazer Grid: Issue tracking baseline,"Create issue tracking baseline for Trailblazer Grid. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/trailblazer",3,games.aiandsons.io
Port Pilot: Issue tracking baseline,"Create issue tracking baseline for Port Pilot. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/portpilot",3,games.aiandsons.io
Beat Forge: Issue tracking baseline,"Create issue tracking baseline for Beat Forge. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/beatforge",3,games.aiandsons.io
Beat Rail: Issue tracking baseline,"Create issue tracking baseline for Beat Rail. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/beatrail",3,games.aiandsons.io
Byte Bloom: Issue tracking baseline,"Create issue tracking baseline for Byte Bloom. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/bytebloom",3,games.aiandsons.io
Branching Audio Adventure: Issue tracking baseline,"Create issue tracking baseline for Branching Audio Adventure. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/branchingaudio",3,games.aiandsons.io
Gem Swap Blitz: Issue tracking baseline,"Create issue tracking baseline for Gem Swap Blitz. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/gemswap",3,games.aiandsons.io
Hex Harvest: Issue tracking baseline,"Create issue tracking baseline for Hex Harvest. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/hexharvest",3,games.aiandsons.io
Word Weave: Issue tracking baseline,"Create issue tracking baseline for Word Weave. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/wordweave",3,games.aiandsons.io
Letter Lock: Issue tracking baseline,"Create issue tracking baseline for Letter Lock. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/letterlock",3,games.aiandsons.io
Word Search: Issue tracking baseline,"Create issue tracking baseline for Word Search. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/wordsearch",3,games.aiandsons.io
Set Match: Issue tracking baseline,"Create issue tracking baseline for Set Match. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/setmatch",3,games.aiandsons.io
Crazy Eights: Issue tracking baseline,"Create issue tracking baseline for Crazy Eights. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/crazyeights",3,games.aiandsons.io
Twenty-One Table: Issue tracking baseline,"Create issue tracking baseline for Twenty-One Table. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/twentyone",3,games.aiandsons.io
Flow Lines: Issue tracking baseline,"Create issue tracking baseline for Flow Lines. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/flowlines",3,games.aiandsons.io
Tri Peaks Solitaire: Issue tracking baseline,"Create issue tracking baseline for Tri Peaks Solitaire. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/tripeaks",3,games.aiandsons.io
Dice Forge: Issue tracking baseline,"Create issue tracking baseline for Dice Forge. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/diceforge",3,games.aiandsons.io
Yacht Dice: Issue tracking baseline,"Create issue tracking baseline for Yacht Dice. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/yachtdice",3,games.aiandsons.io
Shut the Box: Issue tracking baseline,"Create issue tracking baseline for Shut the Box. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/shutthebox",3,games.aiandsons.io
Keystrike Command: Issue tracking baseline,"Create issue tracking baseline for Keystrike Command. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/keystrike",3,games.aiandsons.io
Pulse Parry: Issue tracking baseline,"Create issue tracking baseline for Pulse Parry. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/pulseparry",3,games.aiandsons.io
Magnet Rail: Issue tracking baseline,"Create issue tracking baseline for Magnet Rail. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/magnetrail",3,games.aiandsons.io
Loom Lock: Issue tracking baseline,"Create issue tracking baseline for Loom Lock. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/loomlock",3,games.aiandsons.io
Tide Tower: Issue tracking baseline,"Create issue tracking baseline for Tide Tower. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/tidetower",3,games.aiandsons.io
Star Lattice: Issue tracking baseline,"Create issue tracking baseline for Star Lattice. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/starlattice",3,games.aiandsons.io
Reactor Relay: Issue tracking baseline,"Create issue tracking baseline for Reactor Relay. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/reactorrelay",3,games.aiandsons.io
Prism Pipeline: Issue tracking baseline,"Create issue tracking baseline for Prism Pipeline. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/prismpipeline",3,games.aiandsons.io
Glacier Guard: Issue tracking baseline,"Create issue tracking baseline for Glacier Guard. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/glacierguard",3,games.aiandsons.io
Storm Vault: Issue tracking baseline,"Create issue tracking baseline for Storm Vault. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/stormvault",3,games.aiandsons.io
Drift Dredger: Issue tracking baseline,"Create issue tracking baseline for Drift Dredger. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/driftdredger",3,games.aiandsons.io
Solar Skiff: Issue tracking baseline,"Create issue tracking baseline for Solar Skiff. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/solarskiff",3,games.aiandsons.io
Cinder Crash: Issue tracking baseline,"Create issue tracking baseline for Cinder Crash. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/cindercrash",3,games.aiandsons.io
Orbit Orchard: Issue tracking baseline,"Create issue tracking baseline for Orbit Orchard. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/orbitorchard",3,games.aiandsons.io
Ember Watch: Issue tracking baseline,"Create issue tracking baseline for Ember Watch. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/emberwatch",3,games.aiandsons.io
Cloud Climber: Issue tracking baseline,"Create issue tracking baseline for Cloud Climber. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/cloudclimber",3,games.aiandsons.io
Reef Runner: Issue tracking baseline,"Create issue tracking baseline for Reef Runner. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/reefrunner",3,games.aiandsons.io
Codebreaker Grid: Issue tracking baseline,"Create issue tracking baseline for Codebreaker Grid. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/codebreaker",3,games.aiandsons.io
Klondike Solitaire: Issue tracking baseline,"Create issue tracking baseline for Klondike Solitaire. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/solitaire",3,games.aiandsons.io
FreeCell Solitaire: Issue tracking baseline,"Create issue tracking baseline for FreeCell Solitaire. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/freecell",3,games.aiandsons.io
Fifteen Puzzle: Issue tracking baseline,"Create issue tracking baseline for Fifteen Puzzle. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/fifteenpuzzle",3,games.aiandsons.io
Battleship: Issue tracking baseline,"Create issue tracking baseline for Battleship. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/battleship",3,games.aiandsons.io
Dots and Boxes: Issue tracking baseline,"Create issue tracking baseline for Dots and Boxes. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/dotsandboxes",3,games.aiandsons.io
Reversi: Issue tracking baseline,"Create issue tracking baseline for Reversi. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/reversi",3,games.aiandsons.io
Checkers: Issue tracking baseline,"Create issue tracking baseline for Checkers. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/checkers",3,games.aiandsons.io
Peg Solitaire: Issue tracking baseline,"Create issue tracking baseline for Peg Solitaire. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/pegsolitaire",3,games.aiandsons.io
Tower of Hanoi: Issue tracking baseline,"Create issue tracking baseline for Tower of Hanoi. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/towerhanoi",3,games.aiandsons.io
Nim Grove: Issue tracking baseline,"Create issue tracking baseline for Nim Grove. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/nimgrove",3,games.aiandsons.io
Mancala: Issue tracking baseline,"Create issue tracking baseline for Mancala. Define bug, feature, and feedback workflow and keep future work linked here. Treat player feedback submissions and follow-up agent briefs as children of this baseline issue.","setup,tracking,game/mancala",3,games.aiandsons.io
